Month,FII Buy,FII Sell,FII Net,DII Buy,DII Sell,DII Net
2016-09,101165.89,97836.27,3329.62,51440.2,49440.98,1999.22
2016-10,72661.2,78431.39,-5770.19,45294.51,37388.16,7906.35
2016-11,110863.2,130845.57,-19982.37,66379.78,48102.75,18277.03
2016-12,74545.48,85870.76,-11325.28,42473.11,33337.02,9136.09
2017-01,76909.72,78811.04,-1901.32,50855.74,46351.8,4503.94
2017-02,107722.25,99017.79,8704.46,61116.21,60180.95,935.26
2017-03,153101.24,126628.07,26473.17,65535.41,69931.02,-4395.61
2017-04,81594.59,88222.15,-6627.56,60188.82,50941.39,9247.43
2017-05,123004.66,123457.2,-452.54,69117.29,64840.23,4277.06
2017-06,99619.25,103670.68,-4051.43,60330.87,53654.76,6676.11
2017-07,104497.69,103032.84,1464.85,67911.76,63125.39,4786.37
2017-08,95588.51,111584.14,-15995.63,70219.04,54013.82,16205.22
2017-09,95431.19,119401.16,-23969.97,79160.5,58134.97,21025.53
2017-10,103827.67,111654.2,-7826.53,74713.94,64623.03,10090.91
2017-11,132245.68,145760.46,-13514.78,89605.94,80362.73,9243.21
2017-12,96087.52,102499.09,-6411.57,76814.06,68671.18,8142.88
2018-01,134222.01,124654.01,9568.0,93029.54,92630.81,398.73
2018-02,101881.52,120500.67,-18619.15,82216.56,64403.55,17813.01
2018-03,118876.79,110971.94,7904.85,79303.18,72609.27,6693.91
2018-04,92062.09,101682.65,-9620.56,70705.51,62041.63,8663.88
2018-05,120914.92,133274.63,-12359.71,87103.11,72048.63,15054.48
2018-06,109343.1,119592.27,-10249.17,78930.3,64784.15,14146.15
2018-07,97483.65,100252.4,-2768.75,74731.75,70885.88,3845.87
2018-08,101173.63,103402.16,-2228.53,75784.39,72961.67,2822.72
2018-09,113805.99,123274.67,-9468.68,82989.11,70485.07,12504.04
2018-10,111037.68,140238.88,-29201.2,100992.39,74958.49,26033.9
2018-11,101299.44,96365.33,4934.11,65526.96,64217.49,1309.47
2018-12,82545.46,83648.83,-1103.37,64671.03,64295.48,375.55
2019-01,101801.24,101673.57,127.67,76616.16,74469.29,2146.87
2019-02,109909.66,96345.09,13564.57,67192.45,67758.34,-565.89
2019-03,143577.58,111206.15,32371.43,74638.29,88568.54,-13930.25
2019-04,102562.51,89812.96,12749.55,66294.61,70514.07,-4219.46
2019-05,131468.97,133604.82,-2135.85,85285.17,79968.83,5316.34
2019-06,98712.03,99400.53,-688.5,58637.91,54994.6,3643.31
2019-07,92246.74,109116.87,-16870.13,92650.09,72255.57,20394.52
2019-08,108529.84,123358.6,-14828.76,87205.37,66271.78,20933.59
2019-09,103760.72,110384.77,-6624.05,84873.73,72382.92,12490.81
2019-10,116236.18,107640.52,8595.66,81036.58,76278.1,4758.48
2019-11,149792.41,136867.48,12924.93,76227.97,84198.26,-7970.29
2019-12,99178.1,98483.98,694.12,65743.09,66483.85,-740.76
2020-01,107812.65,113172.16,-5359.51,91361.34,90287.85,1073.49
2020-02,114891.25,127575.55,-12684.3,93843.52,76910.49,16933.03
2020-03,154904.51,220721.21,-65816.7,157856.93,102261.75,55595.18
2020-04,122483.01,127691.51,-5208.5,75066.03,75183.03,-117.0
2020-05,155977.41,142062.92,13914.49,87531.66,75238.47,12293.19
2020-06,155215.8,149722.85,5492.95,100174.07,97739.67,2434.4
2020-07,113501.55,111011.36,2490.19,89373.83,99381.71,-10007.88
2020-08,131434.85,115684.99,15749.86,77599.64,88646.42,-11046.78
2020-09,127201.38,138612.07,-11410.69,91029.48,90919.18,110.3
2020-10,136822.19,122284.79,14537.4,69356.56,86675.0,-17318.44
2020-11,259779.42,194462.29,65317.13,71778.07,120097.24,-48319.17
2020-12,182528.47,134304.53,48223.94,84739.8,122033.33,-37293.53
2021-01,168241.42,159260.61,8980.81,105747.49,117718.03,-11970.54
2021-02,223030.67,180986.21,42044.46,104175.16,120533.26,-16358.1
2021-03,190759.51,189514.29,1245.22,113745.81,108541.39,5204.42
2021-04,133795.77,145835.2,-12039.43,97884.58,86524.7,11359.88
2021-05,166976.74,172992.08,-6015.34,105544.29,103477.06,2067.23
2021-06,170188.95,170214.84,-25.89,114289.67,107246.16,7043.51
2021-07,125896.68,149090.07,-23193.39,117910.1,99516.18,18393.92
2021-08,175168.36,177736.88,-2568.52,131185.18,124290.49,6894.69
2021-09,217636.41,216722.64,913.77,144147.33,138198.48,5948.85
2021-10,185566.83,211139.02,-25572.19,151607.74,147136.75,4470.99
2021-11,204204.04,244105.96,-39901.92,136049.58,105489.31,30560.27
2021-12,146073.9,181567.49,-35493.59,136077.68,104846.63,31231.05
2022-01,141177.65,182524.0,-41346.35,141934.87,120006.47,21928.4
2022-02,136263.82,181983.89,-45720.07,145477.51,103393.44,42084.07
2022-03,203610.95,246892.26,-43281.31,171963.59,132286.56,39677.03
2022-04,147478.46,188131.17,-40652.71,141508.11,111638.59,29869.52
2022-05,184378.97,238671.44,-54292.47,148569.75,97734.21,50835.54
2022-06,120951.61,179063.98,-58112.37,134086.34,87487.11,46599.23
2022-07,143497.2,150064.91,-6567.71,120405.31,109859.29,10546.02
2022-08,193337.27,171311.65,22025.62,117263.25,124331.88,-7068.63
2022-09,191146.65,209454.95,-18308.3,161757.96,147638.21,14119.75
2022-10,178270.46,178759.52,-489.06,101182.03,91905.06,9276.97
2022-11,221844.65,199298.31,22546.34,127432.18,133733.5,-6301.32
2022-12,139091.4,153322.49,-14231.09,136300.97,112141.84,24159.13
2023-01,155345.35,196810.08,-41464.73,143909.7,110497.85,33411.85
2023-02,162167.67,173258.31,-11090.64,130472.45,111233.17,19239.28
2023-03,175539.06,173541.36,1997.7,139074.82,108526.05,30548.77
2023-04,129039.75,123327.95,5711.8,107083.72,104867.15,2216.57
2023-05,236945.55,209089.07,27856.48,135524.29,138830.64,-3306.35
2023-06,235250.76,208000.75,27250.01,152605.69,148147.46,4458.23
2023-07,215974.66,202052.65,13922.01,168838.84,170023.17,-1184.33
2023-08,270587.17,291207.82,-20620.65,187966.34,162949.39,25016.95
2023-09,228678.76,255370.92,-26692.16,184018.46,163705.81,20312.65
2023-10,186494.72,215551.33,-29056.61,155888.65,130782.79,25105.86
2023-11,246439.77,242537.95,3901.82,146270.72,133550.36,12720.36
2023-12,299153.04,267193.26,31959.78,224569.2,211626.95,12942.25
2024-01,324457.56,360435.43,-35977.87,258423.8,231680.17,26743.63
2024-02,345878.76,361841.48,-15962.72,240482.15,215102.85,25379.3
2024-03,365393.17,362078.7,3314.47,246251.16,189939.56,56311.6
2024-04,277880.2,313572.39,-35692.19,257826.14,213639.86,44186.28
2024-05,381296.83,423511.11,-42214.28,291806.13,236073.09,55733.04
2024-06,391740.96,389703.49,2037.47,337468.58,308835.43,28633.15
2024-07,355944.77,350536.94,5407.83,340739.13,317253.11,23486.02
2024-08,422672.77,443012.03,-20339.26,314795.72,264620.86,50174.86
2024-09,391389.27,378777.48,12611.79,316811.13,285953.83,30857.3
2024-10,299260.34,413706.23,-114445.89,340159.3,232904.62,107254.68
2024-11,306735.44,352709.56,-45974.12,229409.09,184925.23,44483.86
2024-12,299628.86,316611.34,-16982.48,289749.74,255555.01,34194.73
2025-01,242699.59,330074.25,-87374.66,339689.44,253097.64,86591.8
2025-02,259256.89,318244.97,-58988.08,277187.0,212333.81,64853.19
2025-03,296455.65,294441.47,2014.18,274791.22,237205.54,37585.68
2025-04,299966.45,297231.43,2735.02,273363.93,245135.48,28228.45
2025-05,351188.38,339415.13,11773.25,298232.5,230590.16,67642.34
2025-06,349580.23,342091.25,7488.98,350402.34,277728.43,72673.91
2025-07,284138.54,331805.22,-47666.68,321827.75,260888.59,60939.16
2025-08,268077.36,314980.28,-46902.92,293563.09,198734.54,94828.55
2025-09,278843.46,314144.82,-35301.36,326751.09,261407.5,65343.59
2025-10,261117.36,263464.25,-2346.89,314238.53,261444.51,52794.02
2025-11,307573.59,325073.9,-17500.31,318136.71,241052.93,77083.78
2025-12,249054.9,283404.52,-34349.62,356905.61,277285.7,79619.91
2026-01,300257.57,341692.79,-41435.22,364373.29,295152.55,69220.74
2026-02,339315.95,345956.73,-6640.78,346722.22,308299.11,38423.11
2026-03,278800.39,401340.8,-122540.41,414657.07,271696.7,142960.37
2026-04,303387.09,373522.55,-70135.46,377771.28,326707.41,51063.87
2026-05,353913.83,409877.16,-55963.33,361325.17,278656.24,82668.93
2026-06,100370.06,141606.23,-41236.17,129216.89,83959.12,45257.77
