Date,FII Buy,FII Sell,FII Net,DII Buy,DII Sell,DII Net,Source,Status
2024-10-22,16350.73,20178.06,-3827.33,16865.8,10996.74,5869.06,Master 2006-2026,provisional
2024-10-23,15648.06,20638.8,-4990.74,16433.67,10393.77,6039.9,Master 2006-2026,provisional
2024-10-24,12923.1,17759.65,-4836.55,13827.85,10207.38,3620.47,Master 2006-2026,provisional
2024-10-25,15578.36,18605.57,-3027.21,15203.44,11044.15,4159.29,Master 2006-2026,provisional
2024-10-28,14100.27,16209.47,-2109.2,12258.32,10857.47,1400.85,Master 2006-2026,provisional
2024-10-29,15839.43,16732.06,-892.63,12823.77,12093.64,730.13,Master 2006-2026,provisional
2024-10-30,17724.03,19921.65,-2197.62,13594.06,9075.78,4518.28,Master 2006-2026,provisional
2024-10-31,20898.21,25241.74,-4343.53,13000.2,9485.61,3514.59,Master 2006-2026,provisional
2024-11-01,,,0.0,50.09,427.42,-377.33,Master 2006-2026,provisional
2024-11-04,15218.33,19780.08,-4561.75,12449.82,9513.74,2936.08,Master 2006-2026,provisional
2024-11-05,12784.51,14523.8,-1739.29,12616.72,9585.76,3030.96,Master 2006-2026,provisional
2024-11-06,12918.69,16632.36,-3713.67,16061.64,11172.31,4889.33,Master 2006-2026,provisional
2024-11-07,11632.34,17267.79,-5635.45,11374.43,9587.73,1786.7,Master 2006-2026,provisional
2024-11-08,9828.37,13381.82,-3553.45,11246.96,9498.52,1748.44,Master 2006-2026,provisional
2024-11-11,11605.29,11969.64,-364.35,9848.87,7822.24,2026.63,Master 2006-2026,provisional
2024-11-12,18652.52,15809.21,2843.31,10330.28,8475.82,1854.46,Master 2006-2026,provisional
2024-11-13,16344.02,17696.15,-1352.13,14095.16,7949.92,6145.24,Master 2006-2026,provisional
2024-11-14,13809.15,15302.15,-1493.0,10200.35,7718.54,2481.81,Master 2006-2026,provisional
2024-11-18,14409.53,16437.74,-2028.21,11521.42,9190.86,2330.56,Master 2006-2026,provisional
2024-11-19,16282.06,18199.77,-1917.71,13657.81,10873.92,2783.89,Master 2006-2026,provisional
2024-11-21,22271.49,20945.56,1325.93,14555.77,10355.61,4200.16,Master 2006-2026,provisional
2024-11-22,17894.19,16821.22,1072.97,12251.72,10529.57,1722.15,Master 2006-2026,provisional
2024-11-25,85095.71,75479.92,9615.79,17624.75,24532.72,-6907.97,Master 2006-2026,provisional
2024-11-26,13851.83,10037.3,3814.53,8406.15,10317.01,-1910.86,Master 2006-2026,provisional
2024-11-27,11047.72,12096.61,-1048.89,10230.12,8928.15,1301.97,Master 2006-2026,provisional
2024-11-28,15570.63,24103.53,-8532.9,17685.35,8967.05,8718.3,Master 2006-2026,provisional
2024-11-29,18992.12,19982.44,-990.32,15201.68,9478.34,5723.34,Master 2006-2026,provisional
2024-12-02,16809.49,13015.94,3793.55,12456.43,8867.77,3588.66,Master 2006-2026,provisional
2024-12-03,26782.15,17484.62,9297.53,14553.16,14804.15,-250.99,Master 2006-2026,provisional
2024-12-04,20800.57,17936.99,2863.58,14082.28,14982.9,-900.62,Master 2006-2026,provisional
2024-12-05,25335.45,15846.16,9489.29,13395.84,15699.48,-2303.64,Master 2006-2026,provisional
2024-12-06,13439.41,14225.54,-786.13,11651.37,9992.31,1659.06,Master 2006-2026,provisional
2024-12-09,16889.82,16290.04,599.78,10429.71,12077.78,-1648.07,Master 2006-2026,provisional
2024-12-10,20920.38,19053.26,1867.12,11264.73,10658.94,605.79,Master 2006-2026,provisional
2024-12-11,12569.0,12374.25,194.75,11396.21,9388.36,2007.85,Master 2006-2026,provisional
2024-12-12,15004.23,18567.76,-3563.53,13418.45,10771.8,2646.65,Master 2006-2026,provisional
2024-12-13,16587.67,13651.16,2936.51,9616.97,10349.17,-732.2,Master 2006-2026,provisional
2024-12-16,12259.75,12070.65,189.1,8636.76,8871.01,-234.25,Master 2006-2026,provisional
